Row ID;City;State;Product ID;Category;Product Name;Quantity;Sales;Cost;Profit
1;Henderson;Kentucky;FUR-BO-10001798;Furniture;Bush Somerset Collection Bookcase;2;261,96;220,0464;41,9136
2;Henderson;Kentucky;FUR-CH-10000454;Furniture;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;3;731,94;512,358;219,582
3;Los Angeles;California;OFF-LA-10000240;Office Supplies;Self-Adhesive Address Labels for Typewriters by Universal;2;14,62;7,7486;6,8714
6;Los Angeles;California;FUR-FU-10001487;Furniture;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;7;48,86;34,6906;14,1694
7;Los Angeles;California;OFF-AR-10002833;Office Supplies;Newell 322;4;7,28;5,3144;1,9656
10;Los Angeles;California;OFF-AP-10002892;Office Supplies;Belkin F5C206VTEL 6 Outlet Surge;5;114,9;80,43;34,47
17;Madison;Wisconsin;OFF-ST-10004186;Office Supplies;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";6;665,88;652,5624;13,3176
18;West Jordan;Utah;OFF-ST-10000107;Office Supplies;Fellowes Super Stor/Drawer;2;55,5;45,51;9,99
19;San Francisco;California;OFF-AR-10003056;Office Supplies;Newell 341;2;8,56;6,0776;2,4824
22;Fremont;Nebraska;OFF-AR-10000246;Office Supplies;Newell 318;7;19,46;14,4004;5,0596
23;Fremont;Nebraska;OFF-AP-10001492;Office Supplies;Acco Six-Outlet Power Strip, 4' Cord Length;7;60,34;44,6516;15,6884
25;Orem;Utah;FUR-TA-10000577;Furniture;Bretford CR4500 Series Slim Rectangular Table;3;1044,63;804,3651;240,2649
27;Los Angeles;California;TEC-AC-10003027;Technology;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;3;90,57;78,7959;11,7741
43;Los Angeles;California;OFF-ST-10003479;Office Supplies;Eldon Base for stackable storage shelf, platinum;2;77,88;73,986;3,894
45;Eagan;Minnesota;TEC-AC-10000171;Technology;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;2;45,98;26,2086;19,7714
46;Eagan;Minnesota;OFF-BI-10003291;Office Supplies;Wilson Jones Leather-Like Binders with DublLock Round Rings;2;17,46;9,2538;8,2062
47;Westland;Michigan;OFF-ST-10001713;Office Supplies;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;4;211,96;203,4816;8,4784
48;Dover;Delaware;TEC-AC-10002167;Technology;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;3;45;40,05;4,95
49;Dover;Delaware;TEC-PH-10003988;Technology;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;2;21,8;15,696;6,104
50;New Albany;Indiana;OFF-BI-10004410;Office Supplies;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;6;38,22;20,2566;17,9634
51;New Albany;Indiana;OFF-LA-10002762;Office Supplies;Avery 485;6;75,18;39,8454;35,3346
52;New Albany;Indiana;FUR-FU-10001706;Furniture;Longer-Life Soft White Bulbs;2;6,16;3,2032;2,9568
53;New Albany;Indiana;FUR-CH-10003061;Furniture;Global Leather Task Chair, Black;1;89,99;72,8919;17,0981
54;New York City;New York;OFF-FA-10000304;Office Supplies;Advantus Push Pins;7;15,26;9,0034;6,2566
55;New York City;New York;TEC-PH-10002447;Technology;AT&T CL83451 4-Handset Telephone;5;1029,95;731,2645;298,6855
56;Troy;New York;OFF-ST-10000604;Office Supplies;Home/Office Personal File Carts;6;208,56;156,42;52,14
57;Troy;New York;OFF-PA-10001569;Office Supplies;Xerox 232;5;32,4;16,848;15,552
59;Troy;New York;OFF-PA-10000587;Office Supplies;Array Parchment Paper, Assorted Colors;2;14,56;7,5712;6,9888
60;Troy;New York;TEC-AC-10002167;Technology;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;2;30;26,7;3,3
62;Troy;New York;OFF-AR-10001868;Office Supplies;Prang Dustless Chalk Sticks;1;1,68;0,84;0,84
63;Los Angeles;California;TEC-AC-10004633;Technology;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;2;13,98;7,8288;6,1512
65;Los Angeles;California;OFF-PA-10003892;Office Supplies;Xerox 1943;3;146,73;77,7669;68,9631
66;Los Angeles;California;FUR-FU-10000397;Furniture;Luxo Economy Swing Arm Lamp;4;79,76;57,4272;22,3328
70;Springfield;Virginia;OFF-PA-10000482;Office Supplies;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;2;75,88;40,2164;35,6636
72;Jackson;Michigan;OFF-PA-10004675;Office Supplies;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";3;19,05;10,287;8,763
80;Decatur;Alabama;OFF-AP-10002118;Office Supplies;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";1;208,16;151,9568;56,2032
81;Decatur;Alabama;OFF-BI-10002309;Office Supplies;Avery Heavy-Duty EZD  Binder With Locking Rings;3;16,74;8,7048;8,0352
82;San Francisco;California;OFF-AR-10002053;Office Supplies;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;5;14,9;10,728;4,172
83;San Francisco;California;OFF-ST-10002370;Office Supplies;Sortfiler Multipurpose Personal File Organizer, Black;1;21,39;15,1869;6,2031
86;Columbia;South Carolina;FUR-CH-10000863;Furniture;Novimex Swivel Fabric Task Chair;2;301,96;268,7444;33,2156
87;Rochester;Minnesota;TEC-AC-10001998;Technology;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;1;19,99;13,1934;6,7966
88;Rochester;Minnesota;OFF-LA-10000134;Office Supplies;Avery 511;2;6,16;3,2032;2,9568
90;Los Angeles;California;OFF-AR-10004930;Office Supplies;Turquoise Lead Holder with Pocket Clip;3;20,1;13,467;6,633
92;Los Angeles;California;OFF-PA-10000304;Office Supplies;Xerox 1995;1;6,48;3,3696;3,1104
93;Minneapolis;Minnesota;OFF-PA-10003177;Office Supplies;Xerox 1999;2;12,96;6,7392;6,2208
94;Minneapolis;Minnesota;FUR-FU-10003799;Furniture;"Seth Thomas 13 1/2"" Wall Clock";3;53,34;36,8046;16,5354
95;Minneapolis;Minnesota;OFF-BI-10002852;Office Supplies;Ibico Standard Transparent Covers;2;32,96;16,8096;16,1504
97;New York City;New York;FUR-FU-10000629;Furniture;9-3/4 Diameter Round Wall Clock;7;96,53;55,9874;40,5426
99;Saint Paul;Minnesota;OFF-AP-10000358;Office Supplies;Fellowes Basic Home/Office Series Surge Protectors;6;77,88;55,2948;22,5852
103;Rochester;Minnesota;OFF-PA-10004040;Office Supplies;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);4;23,92;12,1992;11,7208
111;New York City;New York;FUR-FU-10001934;Furniture;Magnifier Swing Arm Lamp;2;41,96;31,0504;10,9096
112;Urbandale;Iowa;OFF-AR-10000380;Office Supplies;Hunt PowerHouse Electric Pencil Sharpener, Blue;2;75,96;53,172;22,788
113;Urbandale;Iowa;OFF-BI-10003981;Office Supplies;"Avery Durable Plastic 1"" Binders";6;27,24;13,8924;13,3476
118;Seattle;Washington;FUR-TA-10001768;Furniture;Hon Racetrack Conference Tables;3;787,53;622,1487;165,3813
120;Wilmington;Delaware;FUR-FU-10002157;Furniture;Artistic Insta-Plaque;3;47,04;28,6944;18,3456
