Row;Product ID;Volume per Unit;Quantity;Category;Product Name;Sales;Profit;Order Date
1;FUR-FU-10001215;14;11;Furniture;"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock";113863;47823;1.1.2018
2;OFF-BI-10002012;5;2;Office Supplies;Wilson Jones Easy Flow II Sheet Lifters;864;415;1.1.2018
3;FUR-BO-10004709;12;3;Furniture;Bush Westfield Collection Bookcases, Medium Cherry Finish;41746;9184;2.1.2018
4;TEC-PH-10000455;7;2;Technology;GE 30522EE2;55675;16146;2.1.2018
5;TEC-AC-10000682;9;1;Technology;Kensington K72356US Mouse-in-a-Box USB Desktop Mouse;3982;1394;2.1.2018
6;OFF-AR-10001473;4;3;Office Supplies;Newell 313;2362;638;2.1.2018
7;OFF-ST-10001837;2;2;Office Supplies;SAFCO Mobile Desk Side File, Wire Frame;20525;5336;2.1.2018
8;OFF-PA-10004285;2;3;Office Supplies;Xerox 1959;4810;2309;2.1.2018
9;FUR-TA-10000617;15;7;Furniture;Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal;382284;84102;3.1.2018
10;OFF-AR-10000817;4;3;Office Supplies;Manco Dry-Lighter Erasable Highlighter;2189;744;3.1.2018
11;OFF-ST-10003692;1;2;Office Supplies;Recycled Steel Personal File for Hanging File Folders;27470;6868;3.1.2018
12;OFF-BI-10004364;1;2;Office Supplies;Storex Dura Pro Binders;2851;1283;3.1.2018
13;OFF-PA-10004735;5;6;Office Supplies;Xerox 1905;9331;4479;3.1.2018
14;OFF-PA-10004082;3;5;Office Supplies;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;9576;4788;4.1.2018
15;FUR-FU-10001473;15;14;Furniture;DAX Wood Document Frame;46133;16608;4.1.2018
16;OFF-BI-10003676;4;3;Office Supplies;GBC Standard Recycled Report Covers, Clear Plastic Sheets;7762;3726;4.1.2018
17;OFF-EN-10000461;4;2;Office Supplies;"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";4195;1972;5.1.2018
18;OFF-AP-10004859;4;6;Office Supplies;Acco 6 Outlet Guardian Premium Surge Suppressor;20966;5661;5.1.2018
19;OFF-AR-10001615;1;3;Office Supplies;Newell 34;14285;3714;5.1.2018
20;OFF-FA-10001883;3;4;Office Supplies;Alliance Super-Size Bands, Assorted Sizes;7469;75;6.1.2018
21;OFF-AR-10002399;3;3;Office Supplies;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;3067;1258;6.1.2018
22;TEC-PH-10004977;9;2;Technology;GE 30524EE4;94075;27282;6.1.2018
